2026-07-27 04:23:44 | INFO     | __main__ | ============================================================
2026-07-27 04:23:44 | INFO     | __main__ | Amazon Product Search Scraper — Starting
2026-07-27 04:23:44 | INFO     | __main__ | ============================================================
2026-07-27 04:23:44 | INFO     | __main__ | Keyword:    laptop stand
2026-07-27 04:23:44 | INFO     | __main__ | Pages:      1
2026-07-27 04:23:44 | INFO     | __main__ | Headless:   False
2026-07-27 04:23:44 | INFO     | __main__ | Resume:     False
2026-07-27 04:23:44 | INFO     | __main__ | ------------------------------------------------------------
2026-07-27 04:23:44 | INFO     | scraper.driver | Initializing Chrome WebDriver (headless=False)...
2026-07-27 04:24:10 | INFO     | scraper.driver | Chrome WebDriver initialized successfully.
2026-07-27 04:24:10 | INFO     | scraper.search | Starting scrape: keyword='laptop stand', pages 1 to 1
2026-07-27 04:24:10 | INFO     | scraper.search | ━━━ Scraping page 1 of 1 ━━━
2026-07-27 04:24:10 | INFO     | scraper.search | Navigating to Amazon homepage...
2026-07-27 04:24:13 | DEBUG    | scraper.search | Search input found. Typing keyword: 'laptop stand'
2026-07-27 04:24:14 | INFO     | scraper.search | Search submitted for keyword: 'laptop stand'
2026-07-27 04:24:16 | INFO     | scraper.parser | Found 0 product cards on the page.
2026-07-27 04:24:16 | WARNING  | scraper.search | Page 1: No products found. This may indicate the end of search results.
2026-07-27 04:24:16 | DEBUG    | utils.resume | Progress saved: keyword='laptop stand', last_completed_page=1
2026-07-27 04:24:16 | INFO     | scraper.search | Scraping complete. Total products extracted: 0
2026-07-27 04:24:16 | WARNING  | __main__ | No products were scraped. Exiting.
2026-07-27 04:24:18 | INFO     | scraper.driver | Chrome WebDriver closed successfully.
2026-07-27 04:30:48 | INFO     | __main__ | ============================================================
2026-07-27 04:30:48 | INFO     | __main__ | Amazon Product Search Scraper — Starting
2026-07-27 04:30:48 | INFO     | __main__ | ============================================================
2026-07-27 04:30:48 | INFO     | __main__ | Keyword:    laptop stand
2026-07-27 04:30:48 | INFO     | __main__ | Pages:      1
2026-07-27 04:30:48 | INFO     | __main__ | Headless:   False
2026-07-27 04:30:48 | INFO     | __main__ | Resume:     False
2026-07-27 04:30:48 | INFO     | __main__ | ------------------------------------------------------------
2026-07-27 04:30:48 | INFO     | scraper.driver | Initializing Chrome WebDriver (headless=False)...
2026-07-27 04:30:57 | INFO     | scraper.driver | Chrome WebDriver initialized successfully.
2026-07-27 04:30:57 | INFO     | scraper.search | Starting scrape: keyword='laptop stand', pages 1 to 1
2026-07-27 04:30:57 | INFO     | scraper.search | ━━━ Scraping page 1 of 1 ━━━
2026-07-27 04:30:57 | INFO     | scraper.search | Navigating to Amazon homepage...
2026-07-27 04:31:00 | DEBUG    | scraper.search | Search input found. Typing keyword: 'laptop stand'
2026-07-27 04:31:07 | INFO     | scraper.search | Search submitted for keyword: 'laptop stand'
2026-07-27 04:31:09 | INFO     | scraper.parser | Found 22 product cards on the page.
2026-07-27 04:31:09 | DEBUG    | scraper.parser | Product 1 parsed: Lifelong Aluminum Adjustable Laptop Stand, Extra Tall 20" Ri
2026-07-27 04:31:09 | DEBUG    | scraper.parser | Product 2 parsed: OMOTON LA10 360° Rotating Laptop Stand Riser for Desk, Ergon
2026-07-27 04:31:09 | DEBUG    | scraper.parser | Product 3 parsed: Nulaxy Ergonomic Adjustable Laptop Stand for Desk, Dual Fold
